p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab973a529b50491bb63a1253aa6dc7d0.png_720x720q80.jpg_.webp,Mall,"Laptop Dell Inspiron 7400 14.5 inches IPS QHD  l Silver l DDXGD1 l HÀNG CHÍNH HÃNG",0,31490000,0,0,0,0,0,0,DELL Official Retail Store,88,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/0fc9119358dc21cb9dcd30db74fab371.jpg_720x720q80.jpg_.webp,Mall,Laptop HP ProBook 450 G8 2H0Y1PA ,0,31490000,0,0,0,0,0,0,An Phát HP,94,89,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/1063855536ce9dfae5dc18b252c4b95a.jpg_720x720q80.jpg_.webp,Mall,Laptop HP 14s-fq1080AU 4K0Z7PA ,1,12390000,0,0,0,0,1,100,An Phát HP,94,89,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/fe6a89843afb3c73911e3f396a003965.jpg_720x720q80.jpg_.webp,Mall,Laptop Dell Inspiron 15 3511 15.6 inches FHD  l Black l P112F001ABL l HÀNG CHÍNH HÃNG,0,14490000,0,0,0,0,0,0,DELL Official Retail Store,88,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/6dac1c83a5059915c7a84034d0d41a68.png_720x720q80.jpg_.webp,Non-Mall,"Máy tính xách tay HP 15s-du1105TU  Core i3-10110U 4GB RAM 256GB SSD Intel Graphics 15.6''HD - Hàng chính hãng - Bảo hành 1 năm",0,12490000,0,0,0,0,0,0,HP Flagship Store,93,100,100
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/4536baef82a14deee33554c69f1e11f9.jpg_720x720q80.jpg_.webp,Non-Mall,Màn hình LCD Dell P2721Q/ 27 inch 4K/ USB Type C/ 3Yrs,0,10533060,0,0,0,0,0,0,Ben Computer Store,94,90,100
Toshiba,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/101319cd821e7c28bfb12d773d6d57a1.jpg_720x720q80.jpg_.webp,Non-Mall," Toshiba Dynabook R731  Máy tính xách tay  Chíp i5 mạnh mẽ Laptop Gaming cũ giá rẻ Ổ SSD mới cho tốc độ xử lý nhanh trọng lượng máy nhẹ chỉ 1 3kg tiện dụng máy tín",45,3280000,1,0,0,2,42,98,LAJAPA- Laptop Nhật Bản,97,100,100
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b3400837f43045d48afb9f72d9bc62d7.png_720x720q80.jpg_.webp,Non-Mall,Surface pro 7 12.3 inch chính hãng Microsoft core i5/8gb/128gb mới 100%,0,19950000,0,0,0,0,0,0,iuretailer,85,---,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 830 G5  Laptop Văn Phòng Vỏ Nhôm Cao Cấp  i5- 8250U  RAM 8G  SSD NVMe 256G  VGA Intel UHD 620  Màn 13.3 Full HD IPS",0,13200000,0,0,0,0,0,0,LaptopLC298,98,100,100
OEM,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/7dcd92692d33f41f0be127cb5520e0f3.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Lenovo Thinkpad X1 Carbon Gen4 i7 thệ hệ 6,0,14499000,0,0,0,0,0,0,ThànhNhân Computer,100,63,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 840 G5  Bảo Mật Vân Tay  Mỏng Nhẹ Sang Chảnh  i7-7600U  VGA Intel UHD 620  Màn 14 FullHD IPS  88% sRGB",0,14300000,0,0,0,0,0,0,LaptopLC298,98,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80c96e306a9ec42482f91cc94e9966f5.jpg_720x720q80.jpg_.webp,Non-Mall," Dell Inspiron 15 3511 ",0,13200000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/d306c105f0a1ccc1f2b2a5862a394083.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell Latitude E7270 core i5 tặng cặp chuột add sẵn 2 phần mềm tienganh123 luyenthi123 bản quyền,0,7479000,0,0,0,0,0,0,Mtbstore,96,93,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/e37afcc23601e37cadf1550ec62721a1.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude 6530 Card Rời  i5-3210M  RAM 4G  SSD 128G  VGA NVIDIA Quadro NVS 5200M-1G  Màn 15.6 Full HD",0,7400000,0,0,0,0,0,0,LaptopLC298,98,100,100
Apple,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab134fe3c4e727092401f3b98292f0a5.jpg_720x720q80.jpg_.webp,Non-Mall,[Trả góp 0%]Macbook Air M1 2020 13 inch 256GB Ram 8GB - bản  VN phân phối,0,27490000,0,0,0,0,0,0,iuretailer,85,---,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/7f690ac300d89ca371b7eaebcfb2f5e4.jpg_720x720q80.jpg_.webp,Non-Mall,"DELL INSPIRON N7460 ",0,14790000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/816d70051386ddf3b7bb92054de7a1b6.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude 7370 Laptop Văn Phòng Siêu Mỏng Nhẹ  Chạy Êm Như Mac Air  Core M5-6y57  RAM 8G  SSD 256G  VGA Intel HD 615  Màn 13.3 Inch 3K IPS",0,11700000,0,0,0,0,0,0,Chuyên laptop gaming- đồ hoạ - văn phòng,98,100,100
OEM,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/99d1253d75f3faa784f460c74314f456.jpg_720x720q80.jpg_.webp,Non-Mall,"Laptop cũ Panasonic cf-nx2 core i5 3320m ram 4g HDD 250 12 inch  cam kết hàng đúng mô tả  chất lượng đảm bảo an toàn đến sức khỏe người sử dụng  đa dạng mẫu mã  màu sắc  kích cỡ",0,5796000,0,0,0,0,0,0,Dailysho,98,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b87d992773eecbceb697afbf9087dc61.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell M4800 i7 4800MQ/16G/SSD240G/VGA 2G Máy trạm Hàng nhập Khẩu Mỹ giá siêu sốc,0,16599000,0,0,0,0,0,0,Ntech Electronic,82,---,100
Dell,Máy vi tính & Laptop,https://filebroker-s.slatic.net/S55a22b75b8cf4d1384dac232f7de59b8h.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell 6440 core i5-4200M ram 4gb ssd 120gb vga,0,7850000,0,0,0,0,0,0,laptopcuzin,85,93,100
Google,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2ece59d5f4a22124de10f61731490ccc.jpg_720x720q80.jpg_.webp,Non-Mall,"Google Pixel Slate  core i5  8G  128G  3K  touch  12.3in  giá rẻ",0,15900000,0,0,0,0,0,0,DMQ Royal,100,85,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/fe6a89843afb3c73911e3f396a003965.jpg_720x720q80.jpg_.webp,Mall,Laptop Dell Inspiron 15 3511 15.6 inches FHD  l Black l P112F001ABL l HÀNG CHÍNH HÃNG,0,14490000,0,0,0,0,0,0,DELL Official Retail Store,88,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/6dac1c83a5059915c7a84034d0d41a68.png_720x720q80.jpg_.webp,Non-Mall,"Máy tính xách tay HP 15s-du1105TU  Core i3-10110U 4GB RAM 256GB SSD Intel Graphics 15.6''HD - Hàng chính hãng - Bảo hành 1 năm",0,12490000,0,0,0,0,0,0,HP Flagship Store,93,100,100
Toshiba,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/101319cd821e7c28bfb12d773d6d57a1.jpg_720x720q80.jpg_.webp,Non-Mall," Toshiba Dynabook R731  Máy tính xách tay  Chíp i5 mạnh mẽ Laptop Gaming cũ giá rẻ Ổ SSD mới cho tốc độ xử lý nhanh trọng lượng máy nhẹ chỉ 1 3kg tiện dụng máy tín",45,3280000,1,0,0,2,42,98,LAJAPA- Laptop Nhật Bản,97,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 830 G5  Laptop Văn Phòng Vỏ Nhôm Cao Cấp  i5- 8250U  RAM 8G  SSD NVMe 256G  VGA Intel UHD 620  Màn 13.3 Full HD IPS",0,13200000,0,0,0,0,0,0,LaptopLC298,98,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/48922344114dcc65e42205323f49866d.jpg_720x720q80.jpg_.webp,Non-Mall,"Laptop HP Gaming Pavilion 15 DK0139TX ",0,21500000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80c96e306a9ec42482f91cc94e9966f5.jpg_720x720q80.jpg_.webp,Non-Mall," Dell Inspiron 15 3511 ",0,13200000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab973a529b50491bb63a1253aa6dc7d0.png_720x720q80.jpg_.webp,Mall,"Laptop Dell Inspiron 7400 14.5 inches IPS QHD  l Silver l DDXGD1 l HÀNG CHÍNH HÃNG",0,31490000,0,0,0,0,0,0,DELL Official Retail Store,88,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/e37afcc23601e37cadf1550ec62721a1.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude 6530 Card Rời  i5-3210M  RAM 4G  SSD 128G  VGA NVIDIA Quadro NVS 5200M-1G  Màn 15.6 Full HD",0,7400000,0,0,0,0,0,0,LaptopLC298,98,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/0641174baf5bc9363372540792fe4bad.jpg_720x720q80.jpg_.webp,Non-Mall,"nhập nguyên chiếc từ Mỹ] Dell 7370  7390  5289  chuột quang bàn di loại lớn 2 phần mềm bản quyền tienganh123 và luyenthi123 trọn đời máy",0,12300000,0,0,0,0,0,0,Mtbstore,96,93,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2b4fae0da7f82cbafe7a99037b8533c2.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude E5580 ",0,13990000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Laptop,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b6b2204ef02cb59d51d04c27ecd8756f.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Asus E402 N3050/2GB/500GB thiết kế nhỏ gọn phù hợp giải trí lướt web 2018 - Bảo hành 12 tháng,13,5299000,1,2,0,0,10,84,Siêu Thị Điện tử Nhập Khẩu Ntech,74,---,100
Apple,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab134fe3c4e727092401f3b98292f0a5.jpg_720x720q80.jpg_.webp,Non-Mall,[Trả góp 0%]Macbook Air M1 2020 13 inch 256GB Ram 8GB - bản  VN phân phối,0,27490000,0,0,0,0,0,0,iuretailer,85,---,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/7f690ac300d89ca371b7eaebcfb2f5e4.jpg_720x720q80.jpg_.webp,Non-Mall,"DELL INSPIRON N7460 ",0,14790000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/816d70051386ddf3b7bb92054de7a1b6.jpg_720x720q80.jpg_.webp,Non-Mall,"Dell Latitude 7370 Laptop Văn Phòng Siêu Mỏng Nhẹ  Chạy Êm Như Mac Air  Core M5-6y57  RAM 8G  SSD 256G  VGA Intel HD 615  Màn 13.3 Inch 3K IPS",0,11700000,0,0,0,0,0,0,Chuyên laptop gaming- đồ hoạ - văn phòng,98,100,100
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b3400837f43045d48afb9f72d9bc62d7.png_720x720q80.jpg_.webp,Non-Mall,Surface pro 7 12.3 inch chính hãng Microsoft core i5/8gb/128gb mới 100%,0,19950000,0,0,0,0,0,0,iuretailer,85,---,100
