p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
No Brand,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/359205d75f133cb01c59738da1785bbd.png_720x720q80.jpg_.webp,Non-Mall,T?ßi é?eo ch??o nam v†ßúi canvas ch†Ø?ng ní¯†Ø?c ki†Øüu d?≠ng H?ˇn Qu†Ø?c TC78,141 é??≠nh gi?≠,46.000 É?Æ,1,1,3,6,130,4.9,top-top,96%,100%,100%
Lata,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/15ff68b14095e67cdfaeb325a058eda6.jpg_720x720q80.jpg_.webp,Mall,"T?ßi é?eo ch??o nam TRITA RTN4, 4 ngéün, v†ØÆa ipad 9.7 inchs, v?? ti†ØÅn, é?i†Ø?n tho†ß≠i, c?≠p s†ß≠c, ph?? h†Øúp é?i chí≠i, é?i l?ˇm, é?i h†Øçp, é?i du l†Ø?ch, da t†Ø?ng h†Øúp cao c†ßùp, kh??ng bong tr??c, kh??ng th†ßùm ní¯†Ø?c, b†ßúo h?ˇnh 1 néüm.",27 é??≠nh gi?≠,169.000 É?Æ,0,0,0,0,27,5,LATA,95%,99%,100%
OEM,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/ae7a29f4ef9ed2f207216701069069a5.jpg_720x720q80.jpg_.webp,Non-Mall,T?ßi éêeo Da Cao C†ßùp UNISEX (NA),126 é??≠nh gi?≠,87.300 É?Æ,2,0,2,5,117,4.9,Pitishop,90%,100%,100%
No Brand,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/782b8fc3e0a11a55eda9574060e40f7c.jpg_720x720q80.jpg_.webp,Non-Mall,"T?ßi éêeo Ch??o Cho Nam - URBAN - T?ßi thao t?≠c nhanh, thi†ß®t k†ß® th??ng minh, ch†Ø?ng ní¯†Ø?c, ngéün ch†Ø?a r†Ø?ng lí≠n",Kh??ng c?? é??≠nh gi?≠,279.000 É?Æ,0,0,0,0,0,0,AlphaShop.81,,Kh??ng é?†Ø? th??ng tin,100%
HARAS,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/095184953ecf1a9ad98ac52f6243caec.jpg_720x720q80.jpg_.webp,Mall,T?ßi éêeo Ch??o H?ˇn Qu†Ø?c HARAS HR147VN (X?ÅM),727 é??≠nh gi?≠,31.000 É?Æ,36,21,44,91,535,4.5,HARA Shop,93%,95%,100%
4U,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/ec25f591df9206f0b15d8a184d770b40.jpg_720x720q80.jpg_.webp,Mall,T?ßi da nam é?eo ch??o 4U th†Øùi trang é?†ØÒng v†ØÆa ipad D267N (N?õu),348 é??≠nh gi?≠,126.000 É?Æ,7,3,44,64,230,4.5,4U Official,96%,100%,100%
OEM,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/5159352422900df90604d6eab065581b.jpg_720x720q80.jpg_.webp,Mall,"T?ßi éêeo Vai Nam Size To, T?ßi éêeo Ch??o V†ßúi B†Ø? Si?¶u B†ØÅn",61 é??≠nh gi?≠,104.890 É?Æ,1,0,1,6,53,4.8,BEE COOK,94%,100%,100%
No Brand,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/d3031a31349842be50c37497a09caee2.jpg_720x720q80.jpg_.webp,Non-Mall,T?ßi é?eo ch??o nam Unisex phong c?≠ch H?ˇn Qu†Ø?c t??ch h†Øúp 3 ngéün ch†Ø?a é?†Ø? ti†Ø?n d†Øùng - T?ßi ch??o nam,150 é??≠nh gi?≠,53.510 É?Æ,3,1,3,10,133,4.8,9-Hope,96%,100%,100%
No Brand,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/8cf5f720263a92294eaef11975467339.jpg_720x720q80.jpg_.webp,Non-Mall,[H??NG T†ØêT - GI†ßõM TH??M 12%] T??I éêEO CH??O NAM DA- T?ßi Nam éêeo Ch??o éê†ß?p C?? c†Ø?ng s†ß≠c USB v?ˇ l†Ø? tai nghe th†Øùi trang H?ˇn Qu†Ø?c,981 é??≠nh gi?≠,39.790 É?Æ,45,19,37,72,808,4.6,H??NG S†Ø? RUBI,93%,99%,100%
4U,T?ßi x?≠ch v?ˇ Vali t?ßi du l†Ø?ch,//vn-live-05.slatic.net/p/3a39ee7b62c7217b5d17982a21d5c03d.jpg_720x720q80.jpg_.webp,Mall,T?ßi é?eo ch??o nam th†Øùi trang 4U cao c†ßùp l†Ø?ch l?úm sang tr†Øçng D272N,10 é??≠nh gi?≠,113.000 É?Æ,0,0,0,0,10,5,4U Official,96%,100%,100%
No Brand,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/4536baef82a14deee33554c69f1e11f9.jpg_720x720q80.jpg_.webp,Non-Mall,M?ˇn h?™nh LCD Dell P2721Q/ 27 inch 4K/ USB Type C/ 3Yrs,Kh??ng c?? é??≠nh gi?≠,10.533.060 É?Æ,0,0,0,0,0,0,Ben Computer Store,94%,90%,100%
MAC,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/a36a6c7988a2a99ca05b4c00771b2e8f.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New 2019 AppleMacBook Pro 16É?ù Retina Display 2.3GHz Core i9 AMD Radeon Pro 5500M 16GB 1TB SSD Silver,Kh??ng c?? é??≠nh gi?≠,27.000.000 É?Æ,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Toshiba,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/101319cd821e7c28bfb12d773d6d57a1.jpg_720x720q80.jpg_.webp,Non-Mall,"[X†ßú H?ˇng] Toshiba Dynabook R731 (Portege R830) M?≠y t??nh x?≠ch tay  Ch??p i5 m†ß≠nh m†ß´ Laptop Gaming cè? gi?≠ r†ßØ †Ø? SSD m†Ø?i cho t†Ø?c é?†Ø? x†Ø? l?´ nhanh tr†Øçng lí¯†Øúng m?≠y nh†ß? ch†Ø? 1,3kg ti†Ø?n d†Øùng m?≠y t??n",45 é??≠nh gi?≠,3.280.000 É?Æ,1,0,0,2,42,4.9,LAJAPA- Laptop Nh†ß?t B†ßún,97%,100%,100%
Microsoft,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/ec29947c877675e4334380113082d1a4.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Microsoft Surface Pro X SQ2 - 16GB Go RAM 512GB SSD Platinum,Kh??ng c?? é??≠nh gi?≠,13.000.000 É?Æ,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
MSI,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/f8bd8136173411440149b56d323794e5.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New MSI GS75 Stealth 9SG-1074US 17.3"" 32GB RAM 1TB SSD, Intel Core i7-9750H RTX2080",Kh??ng c?? é??≠nh gi?≠,20.000.000 É?Æ,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
ASUS,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/80424c6a149763e3af3fbf5c77a70ed0.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New ASUS Zenbook Pro Duo UX581 15.6"" Touchscreen (i9-10980HK) 4K UHD 32GB  2TB SSD",Kh??ng c?? é??≠nh gi?≠,20.000.000 É?Æ,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Microsoft,M?≠y vi t??nh & Laptop,//vn-live-05.slatic.net/p/b3400837f43045d48afb9f72d9bc62d7.png_720x720q80.jpg_.webp,Non-Mall,Surface pro 7 12.3 inch ch??nh h?úng Microsoft core i5/8gb/128gb m†Ø?i 100%,Kh??ng c?? é??≠nh gi?≠,19.950.000 É?Æ,0,0,0,0,0,0,iuretailer,85%,Kh??ng é?†Ø? th??ng tin,100%
