p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ab973a529b50491bb63a1253aa6dc7d0.png_720x720q80.jpg_.webp,Mall,"Laptop Dell Inspiron 7400 14.5 inches IPS QHD (Intel / i7-1165G7 / 16GB / 512GB SSD / NVIDIA GeForce MX350, 2GB / Finger Print / Win 10 Home SL) l Silver l DDXGD1 l HÀNG CHÍNH HÃNG",Không có đánh giá,31.490.000 ₫,0,0,0,0,0,0,DELL Official Retail Store,88%,100%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/0fc9119358dc21cb9dcd30db74fab371.jpg_720x720q80.jpg_.webp,Mall,Laptop HP ProBook 450 G8 2H0Y1PA (Core i7-1165G7  | 16GB DDR4 | 512GB SSD  | 15 inch FHD | MX450 2GB| Windows 10| Bạc),Không có đánh giá,31.490.000 ₫,0,0,0,0,0,0,An Phát HP,94%,89%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/1063855536ce9dfae5dc18b252c4b95a.jpg_720x720q80.jpg_.webp,Mall,Laptop HP 14s-fq1080AU 4K0Z7PA (Ryzen 3-5300U | 4GB | 256GB | Radeon Vega | 14 inch HD | Win 10 | Bạc),1 đánh giá,12.390.000 ₫,0,0,0,0,1,5.0,An Phát HP,94%,89%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/756f7f7aeb632324816e1e775f8e0159.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Dell Alienware M17 R4 - 17.3"" 4K UHD i9-10980HK, 32GB RAM, RTX 3080, 1TB SSD",Không có đánh giá,23.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
OnePlus,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ec69d1bd94b9e41f3f3716edc80706f1.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New OnePlus 9 Pro - 256GB - Morning Mist (Unlocked) Sealed In Box,Không có đánh giá,8.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/fe6a89843afb3c73911e3f396a003965.jpg_720x720q80.jpg_.webp,Mall,Laptop Dell Inspiron 15 3511 15.6 inches FHD (Intel / i3-1115G4 / 4GB / 256GB SSD / Office HS19 / Win 10 Home SL) l Black l P112F001ABL l HÀNG CHÍNH HÃNG,Không có đánh giá,14.490.000 ₫,0,0,0,0,0,0,DELL Official Retail Store,88%,100%,100%
MAC,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/95c5b168504afd9a05e440764836e22a.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New AppleiPhone 12 - 128GB - Blue (Unlocked),Không có đánh giá,13.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/bee75dd389dd47f2ef25e4cb079dcdb8.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New Microsoft Surface Book 3 15"" 10th i7 - 32GB RAM 512GB - GTX 1660 Ti - SEALED",Không có đánh giá,15.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a1923f85662bf37637f355922735fcc5.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Dell XPS 13 7390 i7-10710U 512GB SSD 16GB RAM Platinum silver Windows 10 Pro,Không có đánh giá,16.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/6dac1c83a5059915c7a84034d0d41a68.png_720x720q80.jpg_.webp,Non-Mall,"Máy tính xách tay HP 15s-du1105TU, Core i3-10110U,4GB RAM,256GB SSD,Intel Graphics,15.6''HD - Hàng chính hãng - Bảo hành 1 năm",Không có đánh giá,12.490.000 ₫,0,0,0,0,0,0,HP Flagship Store,93%,100%,100%
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/4536baef82a14deee33554c69f1e11f9.jpg_720x720q80.jpg_.webp,Non-Mall,Màn hình LCD Dell P2721Q/ 27 inch 4K/ USB Type C/ 3Yrs,Không có đánh giá,10.533.060 ₫,0,0,0,0,0,0,Ben Computer Store,94%,90%,100%
MAC,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a36a6c7988a2a99ca05b4c00771b2e8f.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New 2019 AppleMacBook Pro 16” Retina Display 2.3GHz Core i9 AMD Radeon Pro 5500M 16GB 1TB SSD Silver,Không có đánh giá,27.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Toshiba,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/101319cd821e7c28bfb12d773d6d57a1.jpg_720x720q80.jpg_.webp,Non-Mall,"[Xả Hàng] Toshiba Dynabook R731 (Portege R830) Máy tính xách tay  Chíp i5 mạnh mẽ Laptop Gaming cũ giá rẻ Ổ SSD mới cho tốc độ xử lý nhanh trọng lượng máy nhẹ chỉ 1,3kg tiện dụng máy tín",45 đánh giá,3.280.000 ₫,1,0,0,2,42,4.9,LAJAPA- Laptop Nhật Bản,97%,100%,100%
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ec29947c877675e4334380113082d1a4.jpg_720x720q80.jpg_.webp,Non-Mall,Brand New Microsoft Surface Pro X SQ2 - 16GB Go RAM 512GB SSD Platinum,Không có đánh giá,13.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
MSI,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/f8bd8136173411440149b56d323794e5.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New MSI GS75 Stealth 9SG-1074US 17.3"" 32GB RAM 1TB SSD, Intel Core i7-9750H RTX2080",Không có đánh giá,20.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
ASUS,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80424c6a149763e3af3fbf5c77a70ed0.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New ASUS Zenbook Pro Duo UX581 15.6"" Touchscreen (i9-10980HK) 4K UHD 32GB  2TB SSD",Không có đánh giá,20.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
Microsoft,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b3400837f43045d48afb9f72d9bc62d7.png_720x720q80.jpg_.webp,Non-Mall,Surface pro 7 12.3 inch chính hãng Microsoft core i5/8gb/128gb mới 100%,Không có đánh giá,19.950.000 ₫,0,0,0,0,0,0,iuretailer,85%,Không đủ thông tin,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 830 G5, Laptop Văn Phòng Vỏ Nhôm Cao Cấp, i5- 8250U, RAM 8G, SSD NVMe 256G, VGA Intel UHD 620, Màn 13.3 Full HD IPS",Không có đánh giá,13.200.000 ₫,0,0,0,0,0,0,LaptopLC298,98%,100%,100%
OEM,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/7dcd92692d33f41f0be127cb5520e0f3.jpg_720x720q80.jpg_.webp,Non-Mall,[HCM]Laptop Lenovo Thinkpad X1 Carbon Gen4 i7 thệ hệ 6,Không có đánh giá,14.499.000 ₫,0,0,0,0,0,0,ThànhNhân Computer,100%,63%,100%
MAC,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2e5f789f0203232b1832412e420ba309.jpg_720x720q80.jpg_.webp,Non-Mall,"Brand New AppleMacBook Air 13"" M1 chip (256 Go SSD, 8 Go RAM) - Silver",Không có đánh giá,17.000.000 ₫,0,0,0,0,0,0,GADGETSHUB PLC,,66%,100%
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/a865cd7e91fbec3f99aab60f1ea4dbe9.jpg_720x720q80.jpg_.webp,Non-Mall,"HP Elitebook 840 G5, Bảo Mật Vân Tay, Mỏng Nhẹ Sang Chảnh, i7-7600U, VGA Intel UHD 620, Màn 14 FullHD IPS, 88% sRGB",Không có đánh giá,14.300.000 ₫,0,0,0,0,0,0,LaptopLC298,98%,100%,100%
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/8b0c8945567fa0561975ea1876796557.jpg_720x720q80.jpg_.webp,Non-Mall,Dell Inspiron 5402 i5-1135G7/ RAM 8GB/ SSD 512GB/ Intel Iris Xe Graphics/ 14 inch,Không có đánh giá,17.990.000 ₫,,,,,,,No.1 Computer,,Không đủ thông tin,100%
